"Anio","Trimestre","Empresa","NombreCorto","NombreLargo","SIC","NAICS","Activos","Inventarios","PasivoCirc","PasivoLP","PPE","CPP","Efectivo","GC","CBV","UOAD","Ventas","IGR","Deuda","CPC","GO","GVGA","Precio_Accion","mkt_capital","No_Acciones"
2009,1,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,100690.194,3230.538,24552.179,33536.281,33624.898,5337.5,4695.209,373.605010986328,13874.8408203125,2176.30908203125,28337.453125,626.184020996094,33536.28125,11934.3740234375,26161.14453125,12286.3037109375,65303.93,61847.08,0.947065207254755
2009,2,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,97436.536,2900.079,16539.1,40181.323,32480.454,5357.625,7120.89,NA,13369.2099609375,2728.56811523438,28493.62890625,747.322021484375,40181.32421875,11256.80859375,25765.060546875,12395.8505859375,26210.57,82270.73,3.13883788105333
2009,3,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,101627.02,2739.741,25424.02,32400.088,33067.104,5665.218,9081.395,NA,13667.009765625,3363.19506835938,29521.48828125,730.739990234375,32400.087890625,11498.1875,26158.29296875,12491.283203125,240380.56,88220.28,0.367002556279925
2009,4,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,96904.284,2968.785,19695.732,32083.858,32763.394,5157.302,5067.571,NA,14021.7998046875,3785.60205078125,30126.46875,733.671997070312,32083.857421875,9605.005859375,26340.8671875,12319.0673828125,133900.11,101765.49,0.760010503352089
2010,1,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,94585.179,2541.161,16233.257,31708.445,31100.317,5740.602,4939.599,290.592987060547,13467.7099609375,2614.71899414062,28250.376953125,646.945983886719,31708.4453125,10790.341796875,25635.658203125,12167.9482421875,140343.49,127903.53,0.911360619577011
2010,2,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,107249.97,2769.157,17290.717,41959.549,31320.51,5624.94,15536.58,1036.68103027344,13377.1865234375,2709.57495117188,28824.189453125,736.72998046875,41959.546875,11313.306640625,26114.615234375,12737.4287109375,78390.59,108103.06,1.37903108013347
2010,3,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,96544.327,2953.42,15117.589,31681.034,31463.24,5681.193,4932.114,673.492004394531,13805.845703125,3391.63989257812,29614.1484375,1007.87200927734,31681.033203125,11162.24609375,26222.5078125,12416.662109375,17872.16,108526.34,6.07236842105263
2010,4,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,98407.602,3148.24,14716.324,31585.891,32027.767,6756.572,3325.379,1799.1259765625,14666.2236328125,2677.17504882812,30474.6171875,739.440002441406,31585.890625,11724.4833984375,27797.44140625,13131.2177734375,221097.44,123964.6,0.560678585875983
2011,1,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,99152.035,2896.758,15005.101,31208.235,31707.748,5897.412,3846.769,797.68798828125,14276.78515625,2361.23510742188,29311.5078125,608.161987304688,31208.234375,12342.333984375,26950.2734375,12673.48828125,219122.1,117791.65,0.537561706464113
2011,2,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,106332.579,3172.792,17800.07,35092.064,32149.673,6971.562,9132.131,1390.57995605469,14567.4921875,2289.6650390625,30018.92578125,599.078979492188,35092.0625,13236.7666015625,27729.26171875,13161.76953125,154029.81,127597.82,0.828396918752286
2011,3,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,115924.793,3682.444,19901.202,38486.726,34365.57,7623.563,12477.83,2185.462890625,15809.5341796875,3298.01611328125,32540.896484375,581.005981445312,38486.7265625,12893.232421875,29242.880859375,13433.3466796875,71806.11,124117.45,1.72850820076453
2011,4,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,136256.076,4884.827,26490.163,43050.137,42006.14,9889.455,3965.736,1301.17797851562,20555.525390625,2894.28393554688,41860.953125,708.705993652344,43050.13671875,17088.34375,38966.66796875,18411.142578125,18095.56,133900.11,7.39961128586239
2012,1,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,131323.78,4295.082,23817.244,58997.829,41405.413,9028.914,3817.903,1073.23400878906,20508.470703125,1713.82104492188,40918.55078125,727.789978027344,40437.7890625,15321.162109375,39204.73046875,18696.259765625,17472.39,140343.49,8.03230067552292
2012,2,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,137959.485,4709.821,24456.158,61949.485,42642.602,10109.396,3269.638,2568.98706054688,21218.076171875,2079.23291015625,43339.89453125,761.377014160156,41901.875,16610.91015625,41260.66015625,20042.583984375,214465.92,154029.81,0.71820180101342
2012,3,"GRUPO BIMBO S.A.B DE C.V.","BIMBO","GPO. BIMBO",2050,311812,134352.094,4540.364,23466.13,61192.131,41809.313,9274.11,4281.636,146.794006347656,21476.3671875,1351.71203613281,43405.48828125,691.677001953125,40402.5078125,16012.1044921875,42053.77734375,20577.41015625,150690.53,150690.53,1
